Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Market Value (M€)
413,Andreas Pereira,br BRA,MF,Fulham,28.0,1996,33.0,25.0,2.013,22.4,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,3.8,3.0,4.6,7.6,29.0,104.0,81.0,0.09,0.18,0.27,0.09,0.27,0.17,0.21,0.38,0.14,0.34,18.0
414,Ricardo Pereira,pt POR,DF,Leicester City,30.0,1993,10.0,4.0,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,18.0,5.0,0.00,0.00,0.00,0.00,0.0,0.02,0.00,0.02,0.02,0.02,
415,Kalvin Phillips,eng ENG,MF,Ipswich Town,28.0,1995,19.0,14.0,1.237,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.2,0.7,4.0,51.0,4.0,0.00,0.00,0.00,0.00,0.0,0.03,0.02,0.05,0.03,0.05,
416,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22.0,2002,11.0,2.0,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.5,0.5,0.3,0.8,7.0,4.0,17.0,0.00,0.00,0.00,0.00,0.0,0.13,0.08,0.2,0.13,0.20,
417,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,22.0,2002,10.0,5.0,474.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.2,2.2,13.0,10.0,36.0,0.38,0.00,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42,
418,Jordan Pickford,eng ENG,GK,Everton,30.0,1994,38.0,38.0,3.42,38.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,18.0
419,Ethan Pinnock,jm JAM,DF,Brentford,31.0,1993,22.0,21.0,1.913,21.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,1.2,2.3,3.0,41.0,9.0,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,
420,Daniel Podence,pt POR,"MF,FW",Wolves,28.0,1995,2.0,0.0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.00,0.00,0.00,0.00,0.0,0.07,0.00,0.07,0.07,0.07,
421,Alfie Pond,eng ENG,DF,Wolves,20.0,2004,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
422,Nick Pope,eng ENG,GK,Newcastle Utd,32.0,1992,28.0,28.0,2.52,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,8.0
423,Pedro Porro,es ESP,DF,Tottenham,24.0,1999,33.0,28.0,2.61,29.0,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,1.6,1.6,5.0,6.6,65.0,154.0,109.0,0.07,0.21,0.28,0.07,0.28,0.05,0.17,0.23,0.05,0.23,38.0
424,Jarell Quansah,eng ENG,DF,Liverpool,21.0,2003,13.0,4.0,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,3.0,19.0,4.0,0.00,0.00,0.00,0.00,0.0,0.02,0.02,0.04,0.02,0.04,
425,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,22.0,2001,2.0,1.0,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,2.5
Rk,Player,Nation,Pos,Squad,,Born,,,,,,,,,,,,,,,,,,,,Gls,Ast,G+A,G-PK,,xG,xAG,,npxG,npxG+xAG,
426,Aaron Ramsdale,eng ENG,GK,Southampton,26.0,1998,30.0,30.0,2.7,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
427,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23.0,2001,29.0,19.0,1.623,18.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,1.6,1.6,2.3,3.9,61.0,68.0,114.0,0.06,0.17,0.22,0.06,0.22,0.09,0.13,0.22,0.09,0.22,32.0
428,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,26.0,1997,15.0,12.0,978.0,10.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.7,1.7,2.1,3.8,20.0,21.0,79.0,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,
429,Marcus Rashford,eng ENG,FW,Aston Villa,26.0,1997,10.0,4.0,444.0,4.9,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,3.1,2.3,2.3,4.5,22.0,13.0,42.0,0.41,0.41,0.81,0.20,0.61,0.62,0.46,1.08,0.46,0.92,
430,David Raya,es ESP,GK,Arsenal,28.0,1995,38.0,38.0,3.42,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
431,Harrison Reed,eng ENG,MF,Fulham,29.0,1995,12.0,0.0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,1.0,4.0,7.0,0.00,0.00,0.00,0.00,0.0,0.21,0.07,0.27,0.21,0.27,
432,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18.0,2006,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
433,Sergio Reguilón,es ESP,DF,Tottenham,27.0,1996,4.0,1.0,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,5.0,13.0,12.0,0.00,0.00,0.00,0.00,0.0,0.05,0.01,0.07,0.05,0.07,
434,Vitor Reis,br BRA,DF,Manchester City,18.0,2006,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,30.0
435,Chadi Riad,ma MAR,DF,Crystal Palace,21.0,2003,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,15.0
436,Declan Rice,eng ENG,MF,Arsenal,25.0,1999,35.0,33.0,2.825,31.4,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,3.5,3.5,6.6,10.1,90.0,192.0,94.0,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,120.0
437,Chris Richards,us USA,DF,Crystal Palace,24.0,2000,24.0,22.0,1.922,21.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.4,1.4,0.1,1.5,6.0,39.0,2.0,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.07,0.06,0.07,
438,Richarlison,br BRA,FW,Tottenham,27.0,1997,15.0,4.0,504.0,5.6,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,3.7,3.7,0.9,4.6,8.0,11.0,22.0,0.71,0.18,0.89,0.71,0.89,0.66,0.16,0.82,0.66,0.82,20.0
439,Andrew Robertson,sct SCO,DF,Liverpool,30.0,1994,33.0,29.0,2.482,27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.2,1.2,4.6,5.8,64.0,176.0,108.0,0.00,0.04,0.04,0.00,0.04,0.04,0.17,0.21,0.04,0.21,18.0
440,Antonee Robinson,us USA,DF,Fulham,26.0,1997,36.0,35.0,3.167,35.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,4.2,4.9,118.0,131.0,274.0,0.00,0.28,0.28,0.00,0.28,0.02,0.12,0.14,0.02,0.14,35.0
441,Jay Robinson,eng ENG,"MF,FW",Southampton,17.0,2007,4.0,1.0,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,3.0,1.0,10.0,0.00,0.00,0.00,0.00,0.0,0.03,0.44,0.47,0.03,0.47,
442,Rodri,es ESP,MF,Manchester City,28.0,1996,3.0,1.0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.00,0.00,0.00,0.00,0.0,0.00,0.06,0.06,0.00,0.06,110.0
443,Guido Rodríguez,ar ARG,MF,West Ham,30.0,1994,23.0,16.0,1.149,12.8,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,0.2,0.4,4.0,33.0,7.0,0.00,0.08,0.08,0.00,0.08,0.02,0.01,0.03,0.02,0.03,
444,Mads Roerslev,dk DEN,DF,Brentford,25.0,1999,19.0,11.0,1.101,12.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,3.0,3.2,17.0,51.0,54.0,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26,
445,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22.0,2002,37.0,37.0,3.114,34.6,8.0,10.0,18.0,8.0,0.0,0.0,10.0,0.0,6.6,6.6,7.8,14.4,114.0,123.0,188.0,0.23,0.29,0.52,0.23,0.52,0.19,0.23,0.42,0.19,0.42,55.0
446,Cristian Romero,ar ARG,DF,Tottenham,26.0,1998,18.0,18.0,1.416,15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.6,2.2,12.0,71.0,3.0,0.06,0.00,0.06,0.06,0.06,0.10,0.04,0.14,0.10,0.14,50.0
447,Georginio Rutter,fr FRA,"MF,FW",Brighton,22.0,2002,28.0,19.0,1.656,18.4,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,4.6,4.6,2.5,7.1,42.0,67.0,79.0,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,32.0
448,José Sá,pt POR,GK,Wolves,31.0,1993,29.0,29.0,2.609,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.01,0.01,0.00,0.01,7.0
449,Bukayo Saka,eng ENG,"FW,MF",Arsenal,22.0,2001,25.0,20.0,1.729,19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,6.8,6.0,7.6,13.7,96.0,70.0,255.0,0.31,0.52,0.83,0.26,0.78,0.36,0.40,0.75,0.31,0.71,150.0
450,Mohamed Salah,eg EGY,FW,Liverpool,32.0,1992,38.0,38.0,3.371,37.5,29.0,18.0,47.0,20.0,9.0,9.0,1.0,0.0,25.2,18.2,14.2,32.4,154.0,144.0,488.0,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,50.0
Rk,Player,Nation,Pos,Squad,,Born,,,,,,,,,,,,,,,,,,,,Gls,Ast,G+A,G-PK,,xG,xAG,,npxG,npxG+xAG,
451,William Saliba,fr FRA,DF,Arsenal,23.0,2001,35.0,35.0,3.039,33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.3,2.3,0.9,3.1,16.0,138.0,6.0,0.06,0.00,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,80.0
452,Robert Sánchez,es ESP,GK,Chelsea,26.0,1997,32.0,32.0,2.88,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,20.0
453,Jadon Sancho,eng ENG,FW,Chelsea,24.0,2000,31.0,19.0,1.764,19.6,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.2,2.2,3.7,5.8,102.0,90.0,225.0,0.15,0.20,0.36,0.15,0.36,0.11,0.19,0.3,0.11,0.30,28.0
454,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,26.0,1997,13.0,7.0,590.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,1.0,27.0,4.0,0.00,0.15,0.15,0.00,0.15,0.00,0.06,0.06,0.00,0.06,24.0
455,Pablo Sarabia,es ESP,"MF,FW",Wolves,32.0,1992,23.0,7.0,814.0,9.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.9,2.9,1.8,4.6,15.0,60.0,62.0,0.33,0.22,0.55,0.33,0.55,0.32,0.19,0.51,0.32,0.51,
456,Jeremy Sarmiento,ec ECU,MF,Brighton,22.0,2002,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
457,Ismaila Sarr,sn SEN,MF,Crystal Palace,26.0,1998,38.0,30.0,2.711,30.1,8.0,6.0,14.0,8.0,0.0,0.0,4.0,0.0,10.7,10.7,8.5,19.2,75.0,85.0,183.0,0.27,0.20,0.46,0.27,0.46,0.35,0.28,0.64,0.35,0.64,
458,Sávio,br BRA,"FW,MF",Manchester City,20.0,2004,29.0,21.0,1.766,19.6,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,5.0,5.0,6.9,11.9,137.0,67.0,246.0,0.05,0.41,0.46,0.05,0.46,0.26,0.35,0.61,0.26,0.61,
459,Oliver Scarles,eng ENG,"DF,FW",West Ham,18.0,2005,15.0,7.0,665.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,12.0,22.0,44.0,0.00,0.00,0.00,0.00,0.0,0.01,0.01,0.03,0.01,0.03,
460,Dane Scarlett,eng ENG,"FW,MF",Tottenham,20.0,2004,3.0,0.0,34.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,0.00,2.65,2.65,0.00,2.65,0.09,0.12,0.22,0.09,0.22,
461,Kevin Schade,de GER,FW,Brentford,22.0,2001,38.0,26.0,2.293,25.5,11.0,2.0,13.0,11.0,0.0,0.0,3.0,0.0,8.2,8.2,3.7,11.9,61.0,38.0,165.0,0.43,0.08,0.51,0.43,0.51,0.32,0.14,0.47,0.32,0.47,30.0
462,Fabian Schär,ch SUI,DF,Newcastle Utd,32.0,1991,34.0,33.0,2.934,32.6,4.0,0.0,4.0,4.0,0.0,0.0,9.0,1.0,3.7,3.7,0.4,4.1,18.0,118.0,22.0,0.12,0.00,0.12,0.12,0.12,0.11,0.01,0.13,0.11,0.13,
463,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,31.0,1992,12.0,0.0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,4.0,5.0,9.0,0.00,0.00,0.00,0.00,0.0,0.14,0.14,0.28,0.14,0.28,
464,Alex Scott,eng ENG,MF,Bournemouth,20.0,2003,20.0,8.0,755.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.9,1.6,15.0,52.0,33.0,0.00,0.00,0.00,0.00,0.0,0.09,0.11,0.19,0.09,0.19,20.0
465,Matz Sels,be BEL,GK,Nott'ham Forest,32.0,1992,38.0,38.0,3.42,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.4,0.4,1.0,2.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.01,0.01,0.00,0.01,7.0
466,Nélson Semedo,pt POR,DF,Wolves,30.0,1993,34.0,32.0,2.886,32.1,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,0.9,0.9,2.8,3.7,67.0,80.0,119.0,0.00,0.12,0.12,0.00,0.12,0.03,0.09,0.12,0.03,0.12,
467,Antoine Semenyo,gh GHA,FW,Bournemouth,24.0,2000,37.0,36.0,3.203,35.6,11.0,5.0,16.0,11.0,0.0,0.0,9.0,0.0,10.0,10.0,5.8,15.8,140.0,109.0,282.0,0.31,0.14,0.45,0.31,0.45,0.28,0.16,0.44,0.28,0.44,40.0
468,Marcos Senesi,ar ARG,DF,Bournemouth,27.0,1997,17.0,13.0,1.106,12.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.2,1.1,12.0,62.0,7.0,0.00,0.00,0.00,0.00,0.0,0.07,0.02,0.09,0.07,0.09,22.0
469,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24.0,2000,16.0,7.0,580.0,6.4,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.6,1.6,1.1,2.7,18.0,22.0,59.0,0.62,0.31,0.93,0.62,0.93,0.25,0.17,0.42,0.25,0.42,15.0
470,Luke Shaw,eng ENG,DF,Manchester Utd,29.0,1995,7.0,4.0,349.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,7.0,24.0,7.0,0.00,0.00,0.00,0.00,0.0,0.01,0.18,0.19,0.01,0.19,
471,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19.0,2005,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
472,Bernardo Silva,pt POR,"MF,FW",Manchester City,29.0,1994,33.0,29.0,2.67,29.7,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,3.9,3.9,5.1,9.0,101.0,134.0,200.0,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.3,0.13,0.30,38.0
473,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,24.0,1999,31.0,5.0,854.0,9.5,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.1,2.1,2.9,5.0,21.0,18.0,59.0,0.32,0.11,0.42,0.32,0.42,0.22,0.30,0.53,0.22,0.53,15.0
474,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18.0,2006,2.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
475,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,18.0,2005,2.0,1.0,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
Rk,Player,Nation,Pos,Squad,,Born,,,,,,,,,,,,,,,,,,,,Gls,Ast,G+A,G-PK,,xG,xAG,,npxG,npxG+xAG,
476,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25.0,1999,12.0,1.0,236.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,1.4,2.6,19.0,6.0,38.0,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.0,0.46,1.00,15.0
477,Oliver Skipp,eng ENG,MF,Leicester City,23.0,2000,24.0,10.0,1.129,12.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,0.3,0.6,16.0,35.0,19.0,0.00,0.00,0.00,0.00,0.0,0.03,0.02,0.05,0.03,0.05,
478,William Smallbone,ie IRL,MF,Southampton,24.0,2000,18.0,6.0,690.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,1.3,5.0,27.0,25.0,0.13,0.00,0.13,0.13,0.13,0.07,0.10,0.17,0.07,0.17,
479,Adam Smith,eng ENG,DF,Bournemouth,33.0,1991,25.0,19.0,1.59,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,0.4,1.1,15.0,49.0,34.0,0.00,0.00,0.00,0.00,0.0,0.04,0.02,0.06,0.04,0.06,
480,Emile Smith Rowe,eng ENG,MF,Fulham,24.0,2000,34.0,25.0,2.043,22.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,4.5,4.5,1.4,6.0,53.0,126.0,127.0,0.26,0.13,0.40,0.26,0.4,0.20,0.06,0.26,0.20,0.26,30.0
481,Dominic Solanke,eng ENG,FW,Tottenham,26.0,1997,27.0,25.0,2.201,24.5,9.0,3.0,12.0,8.0,1.0,1.0,0.0,0.0,10.9,10.1,2.9,13.1,31.0,47.0,88.0,0.37,0.12,0.49,0.33,0.45,0.45,0.12,0.57,0.41,0.54,40.0
482,Carlos Soler,es ESP,"MF,FW",West Ham,27.0,1997,31.0,14.0,1.409,15.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,1.4,3.2,17.0,56.0,37.0,0.06,0.06,0.13,0.06,0.13,0.12,0.09,0.21,0.12,0.21,
483,Julio Soler,ar ARG,"DF,FW",Bournemouth,19.0,2005,3.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
484,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,24.0,1999,19.0,1.0,295.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.5,12.0,6.0,17.0,0.31,0.00,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45,
485,Tomáš Souček,cz CZE,MF,West Ham,29.0,1995,35.0,30.0,2.567,28.5,9.0,1.0,10.0,9.0,0.0,0.0,8.0,0.0,6.7,6.7,1.0,7.8,9.0,74.0,68.0,0.32,0.04,0.35,0.32,0.35,0.24,0.04,0.27,0.24,0.27,
486,Boubakary Soumaré,fr FRA,MF,Leicester City,25.0,1999,31.0,25.0,2.171,24.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.3,0.4,0.7,34.0,105.0,23.0,0.00,0.00,0.00,0.00,0.0,0.01,0.02,0.03,0.01,0.03,
487,Djed Spence,eng ENG,DF,Tottenham,23.0,2000,25.0,19.0,1.792,19.9,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.6,0.6,1.8,2.3,59.0,105.0,70.0,0.05,0.10,0.15,0.05,0.15,0.03,0.09,0.12,0.03,0.12,20.0
488,Jay Stansfield,eng ENG,MF,Fulham,21.0,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
489,Jason Steele,eng ENG,GK,Brighton,33.0,1990,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,1.5
490,Jack Stephens,eng ENG,DF,Southampton,30.0,1994,19.0,17.0,1.389,15.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.6,0.6,0.2,0.7,14.0,63.0,2.0,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,
491,Raheem Sterling,eng ENG,"FW,MF",Arsenal,29.0,1994,17.0,7.0,499.0,5.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,0.5,1.9,27.0,18.0,79.0,0.00,0.36,0.36,0.00,0.36,0.26,0.09,0.34,0.26,0.34,
492,Ross Stewart,sct SCO,FW,Southampton,28.0,1996,12.0,4.0,389.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.0,1.1,3.0,2.0,10.0,0.23,0.00,0.23,0.23,0.23,0.25,0.00,0.25,0.25,0.25,
493,Jakub Stolarczyk,pl POL,GK,Leicester City,23.0,2000,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
494,John Stones,eng ENG,"DF,MF",Manchester City,30.0,1994,11.0,6.0,548.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,10.0,21.0,2.0,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,25.0
495,Jørgen Strand Larsen,no NOR,FW,Wolves,24.0,2000,35.0,30.0,2.587,28.7,14.0,4.0,18.0,14.0,0.0,0.0,4.0,0.0,10.3,10.3,3.0,13.3,17.0,29.0,112.0,0.49,0.14,0.63,0.49,0.63,0.36,0.10,0.46,0.36,0.46,30.0
496,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24.0,2000,30.0,16.0,1.557,17.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,2.2,2.7,33.0,72.0,78.0,0.06,0.06,0.12,0.06,0.12,0.03,0.13,0.16,0.03,0.16,
497,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22.0,2002,26.0,17.0,1.402,15.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,1.0,2.5,63.0,27.0,87.0,0.06,0.06,0.13,0.06,0.13,0.10,0.06,0.16,0.10,0.16,
498,Crysencio Summerville,nl NED,"FW,MF",West Ham,22.0,2001,19.0,7.0,786.0,8.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.7,3.3,29.0,18.0,71.0,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,22.0
499,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,28.0,1995,20.0,13.0,992.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,0.2,3.6,16.0,19.0,47.0,0.36,0.00,0.36,0.36,0.36,0.31,0.02,0.33,0.31,0.33,
500,Dominik Szoboszlai,hu HUN,MF,Liverpool,23.0,2000,36.0,29.0,2.491,27.7,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,7.3,7.3,7.4,14.7,72.0,131.0,127.0,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,80.0
Rk,Player,Nation,Pos,Squad,,Born,,,,,,,,,,,,,,,,,,,,Gls,Ast,G+A,G-PK,,xG,xAG,,npxG,npxG+xAG,
