Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Market Value (M€)
347,Scott McTominay,sct SCO,MF,Manchester Utd,27.0,1996,2.0,0.0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,2.0,0.00,0.00,0.00,0.00,0.0,0.33,0.00,0.33,0.33,0.33,
348,Ben Mee,eng ENG,DF,Brentford,34.0,1989,7.0,2.0,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
349,Jayden Meghoma,eng ENG,DF,Brentford,18.0,2006,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
350,Mikel Merino,es ESP,"MF,FW",Arsenal,28.0,1996,28.0,17.0,1.586,17.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,5.9,5.9,2.0,7.9,11.0,69.0,94.0,0.40,0.11,0.51,0.40,0.51,0.34,0.11,0.45,0.34,0.45,35.0
Rk,Player,Nation,Pos,Squad,,Born,,,,,,,,,,,,,,,,,,,,Gls,Ast,G+A,G-PK,,xG,xAG,,npxG,npxG+xAG,
351,Shumaira Mheuka,eng ENG,MF,Chelsea,16.0,2007,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,5.06,0.00,5.06,5.06,5.06,
352,Nikola Milenković,rs SRB,DF,Nott'ham Forest,26.0,1997,37.0,37.0,3.33,37.0,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,4.0,4.0,1.1,5.1,3.0,51.0,6.0,0.14,0.05,0.19,0.14,0.19,0.11,0.03,0.14,0.11,0.14,35.0
353,Lewis Miley,eng ENG,MF,Newcastle Utd,18.0,2006,14.0,1.0,313.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,2.0,17.0,8.0,0.29,0.00,0.29,0.29,0.29,0.16,0.01,0.16,0.16,0.16,22.0
354,James Milner,eng ENG,MF,Brighton,38.0,1986,4.0,3.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,1.0,10.0,10.0,0.00,0.00,0.00,0.00,0.0,0.09,0.12,0.21,0.09,0.21,
355,Tyrone Mings,eng ENG,DF,Aston Villa,31.0,1993,14.0,12.0,1.12,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,7.0,40.0,1.0,0.00,0.00,0.00,0.00,0.0,0.07,0.02,0.08,0.07,0.08,
356,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20.0,2004,32.0,20.0,1.838,20.4,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,4.1,4.1,5.0,9.1,90.0,48.0,201.0,0.29,0.20,0.49,0.29,0.49,0.20,0.24,0.44,0.20,0.44,30.0
357,Tyrick Mitchell,eng ENG,DF,Crystal Palace,24.0,1999,37.0,37.0,3.092,34.4,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,6.4,7.7,63.0,70.0,171.0,0.00,0.15,0.15,0.00,0.15,0.04,0.19,0.22,0.04,0.22,25.0
358,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27.0,1997,36.0,28.0,2.603,28.9,10.0,4.0,14.0,10.0,0.0,0.0,1.0,0.0,9.2,9.2,4.6,13.8,146.0,89.0,291.0,0.35,0.14,0.48,0.35,0.48,0.32,0.16,0.48,0.32,0.48,40.0
359,Jakub Moder,pl POL,MF,Brighton,25.0,1999,4.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,4.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,1.45,1.45,0.00,1.45,
360,Jeremy Monga,nan,"FW,MF",Leicester City,,,7.0,0.0,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,3.0,10.0,0.00,0.00,0.00,0.00,0.0,0.13,0.01,0.14,0.13,0.14,
361,Mikey Moore,eng ENG,FW,Tottenham,16.0,2007,10.0,3.0,366.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,12.0,9.0,40.0,0.00,0.25,0.25,0.00,0.25,0.05,0.08,0.13,0.05,0.13,18.0
362,Morato,br BRA,DF,Nott'ham Forest,23.0,2001,26.0,6.0,907.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.2,1.0,19.0,1.0,0.00,0.00,0.00,0.00,0.0,0.02,0.00,0.02,0.02,0.02,
363,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31.0,1993,15.0,11.0,955.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.3,1.4,26.0,34.0,34.0,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.13,0.02,0.13,
364,Sam Morsy,eg EGY,MF,Ipswich Town,32.0,1991,33.0,31.0,2.751,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.4,0.4,1.2,1.6,22.0,120.0,13.0,0.03,0.03,0.07,0.03,0.07,0.01,0.04,0.05,0.01,0.05,
365,Yerson Mosquera,co COL,DF,Wolves,23.0,2001,5.0,5.0,441.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,0.0,7.0,0.0,0.00,0.00,0.00,0.00,0.0,0.07,0.02,0.09,0.07,0.09,
366,Mason Mount,eng ENG,MF,Manchester Utd,25.0,1999,17.0,8.0,622.0,6.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.2,3.2,0.6,3.8,15.0,33.0,41.0,0.14,0.00,0.14,0.14,0.14,0.47,0.08,0.55,0.47,0.55,28.0
367,Divin Mubama,eng ENG,FW,Manchester City,19.0,2004,1.0,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.0,0.12,0.00,0.12,0.12,0.12,
368,Mykhailo Mudryk,ua UKR,FW,Chelsea,23.0,2001,7.0,1.0,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.2,7.0,5.0,12.0,0.00,0.00,0.00,0.00,0.0,0.15,0.58,0.73,0.15,0.73,
369,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28.0,1996,14.0,12.0,1.078,12.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.3,3.3,1.8,5.1,9.0,10.0,35.0,0.17,0.08,0.25,0.17,0.25,0.28,0.15,0.42,0.28,0.42,15.0
370,Rodrigo Muniz,br BRA,FW,Fulham,23.0,2001,31.0,8.0,964.0,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,5.8,5.8,0.7,6.5,6.0,27.0,31.0,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,20.0
371,Daniel Muñoz,co COL,DF,Crystal Palace,28.0,1996,37.0,37.0,3.228,35.9,4.0,5.0,9.0,4.0,0.0,0.0,10.0,0.0,4.9,4.9,5.5,10.5,62.0,97.0,206.0,0.11,0.14,0.25,0.11,0.25,0.14,0.15,0.29,0.14,0.29,25.0
